GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage-report/org.adempiere.base,org.idempiere.broadcast.process,TestBrodcastMessage,15,0,0,0,5,0,3,0,3,0
coverage-report/org.adempiere.base,org.idempiere.broadcast.process,ExpireBrodcastMessage,48,0,6,0,11,0,6,0,3,0
coverage-report/org.adempiere.base,org.idempiere.broadcast.process,PublishBrodcastMessage,11,0,0,0,4,0,3,0,3,0
coverage-report/org.adempiere.base,org.adempiere.base.markdown,MarkdownRendererImpl.new AttributeProviderFactory() {...},17,0,0,0,2,0,2,0,2,0
coverage-report/org.adempiere.base,org.adempiere.base.markdown,MarkdownRendererImpl,145,0,22,0,29,0,13,0,2,0
coverage-report/org.adempiere.base,org.adempiere.base.markdown,MarkdownRendererImpl.LinkAttributeProvider,102,0,30,0,19,0,17,0,2,0
coverage-report/org.adempiere.base,org.adempiere.base.markdown,IMarkdownRenderer,11,0,0,0,2,0,2,0,2,0
coverage-report/org.adempiere.base,org.adempiere.model,MFreightShipmentProcessor,364,0,18,0,64,0,14,0,5,0
coverage-report/org.adempiere.base,org.adempiere.model,POWrapper,321,0,48,0,79,0,33,0,9,0
coverage-report/org.adempiere.base,org.adempiere.model,ZoomInfoFactory.ZoomInfo,57,0,2,0,14,0,3,0,2,0
coverage-report/org.adempiere.base,org.adempiere.model,ZoomInfoFactory,115,0,16,0,23,0,11,0,3,0
coverage-report/org.adempiere.base,org.adempiere.model,MWizardProcess,60,0,2,0,13,0,5,0,4,0
coverage-report/org.adempiere.base,org.adempiere.model,GenericZoomProvider,715,0,72,0,185,0,41,0,5,0
coverage-report/org.adempiere.base,org.adempiere.model,MInfoProcess,111,0,8,0,26,0,14,0,10,0
coverage-report/org.adempiere.base,org.adempiere.model,ProductPriceValidator,231,0,34,0,60,0,24,0,7,0
coverage-report/org.adempiere.base,org.adempiere.model,ShippingPackage,38,0,0,0,16,0,11,0,11,0
coverage-report/org.adempiere.base,org.adempiere.model,MInfoRelated,93,0,6,0,24,0,12,0,9,0
coverage-report/org.adempiere.base,org.adempiere.model,MShipperFacade,257,0,28,0,49,0,35,0,21,0
